# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Mar 04 15:04:43 AEDT 2024 [seed=1709525081974]
# /home/sebastiand/Dropbox/projects_WORKING/BETS_prior_sensitivity/cholera/cholera_fixed_phi.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
400000	-961.2188973350729	-961.2188973350729	-4.996003610813208E-15	1492.6723220160316	517.3276779839684	9964.24126479223	1000.0	4.169701802145185	0.2546409254513175	6.654238822082779E-5	6.654238822082776E-5	-4.996003610813208E-15	0.0	-952.1361309830621
425000	-977.0536450770604	-977.0536450770604	-4.662936703425661E-15	2785.560907366287	-775.5609073662872	13588.701098295764	1000.0	34.90192891197477	0.037401806202877474	9.663921665701641E-6	9.663921665701643E-6	-4.662936703425661E-15	0.0	-965.9058469160003
450000	-966.2045101292498	-966.2045101292498	-3.663735981263019E-15	1674.8534627303352	335.1465372696648	10448.307835704332	1000.0	21.30299363462295	0.8645350809212794	5.077980634477685E-9	5.077980634477682E-9	-3.663735981263019E-15	0.0	-958.4001459190463
475000	-957.9325441677937	-957.9325441677937	-6.661338147750946E-15	2123.220557545934	-113.22055754593384	11150.531527413717	1000.0	169.51112219640643	0.23818891544154444	6.611825846509605E-10	6.611825846509599E-10	-6.661338147750946E-15	0.0	-946.2491981618081
500000	-976.6819498443822	-976.6819498443822	-5.662137425588305E-15	1820.605442787592	189.39455721240802	11024.258697193774	1000.0	28.49120132395268	0.18065828325731173	8.011266177426254E-6	8.011266177426253E-6	-5.662137425588305E-15	0.0	-965.8011518740672
525000	-961.7889693708415	-961.7889693708415	-3.996802888650567E-15	1489.570657054157	520.429342945843	9589.921229983196	1000.0	4.113556021779491	0.10195799925996357	1.8456719058026793E-5	1.8456719058026796E-5	-3.996802888650567E-15	0.0	-954.1368850086292
550000	-974.4893847331688	-974.4893847331688	-5.329070518200756E-15	1558.8608214463893	451.1391785536107	9993.387160919488	1000.0	2.5574722757137924	2.2394580433738573	9.226295350958316E-6	9.226295350958315E-6	-5.329070518200756E-15	0.0	-963.5433892665976
575000	-982.7243556002682	-982.7243556002682	-4.329869796038114E-15	3178.1447680682795	-1168.1447680682795	13310.86432825249	1000.0	0.2230676982409009	0.1838394605449115	2.675459140127639E-5	2.6754591401276385E-5	-4.329869796038114E-15	0.0	-975.6767180750151
600000	-973.5286471728788	-973.5286471728788	-4.662936703425661E-15	1402.163890910847	607.8361090891531	9868.296423604726	1000.0	7.086130009865228	0.717041273216604	5.048030726786657E-5	5.048030726786661E-5	-4.662936703425661E-15	0.0	-963.0537715835446
625000	-958.2817926105682	-958.2817926105682	-2.3314683517128295E-15	2602.2515992083336	-592.2515992083336	12440.67333732275	1000.0	10.876583490469928	0.08184949472596312	5.784154787711457E-9	5.784154787711459E-9	-2.3314683517128295E-15	0.0	-953.4783486544151
650000	-979.3243398387326	-979.3243398387326	-5.329070518200756E-15	1313.04371735936	696.95628264064	9169.812290133194	1000.0	4.349112291198336	1.4753987712323715	3.487277760210663E-6	3.4872777602106616E-6	-5.329070518200756E-15	0.0	-969.8097099619354
675000	-954.1572288321237	-954.1572288321237	-5.995204332975852E-15	565.5164992961406	1444.4835007038594	7462.309544769958	1000.0	2.5265886905667343	0.761924776477145	2.9315751674700077E-5	2.9315751674700077E-5	-5.995204332975852E-15	0.0	-945.3273035596137
700000	-965.5480289989468	-965.5480289989468	-5.662137425588305E-15	1325.0753312213558	684.9246687786442	10039.641207409579	1000.0	3.7982318958659955	1.283618474575232	1.279987558768116E-4	1.2799875587681163E-4	-5.662137425588305E-15	0.0	-953.5780416055499
725000	-962.1655300365303	-962.1655300365303	-4.996003610813208E-15	1477.587283978585	532.412716021415	9685.189332187394	1000.0	7.332887390580893	1.8595502307176217	9.742126010391513E-5	9.742126010391513E-5	-4.996003610813208E-15	0.0	-948.5665574539635
750000	-955.0111363574186	-955.0111363574186	-4.662936703425661E-15	652.8261776557645	1357.1738223442355	7368.159808763522	1000.0	17.262774248239804	0.25055181695004414	1.0408944507277976E-5	1.0408944507277971E-5	-4.662936703425661E-15	0.0	-944.8439489914192
775000	-958.1866312904335	-958.1866312904335	-5.662137425588305E-15	1387.265741555238	622.734258444762	9267.3963333136	1000.0	0.7095028384400178	0.44572394212241045	2.114855506390255E-5	2.114855506390256E-5	-5.662137425588305E-15	0.0	-950.9779148237981
800000	-969.4951023077455	-969.4951023077455	-3.663735981263019E-15	2709.8731887669064	-699.8731887669064	12327.21187209072	1000.0	0.10983289539274127	0.056933935805490325	8.742275226420203E-5	8.742275226420213E-5	-3.663735981263019E-15	0.0	-960.763439226269
825000	-977.4066191360291	-977.4066191360291	-2.9976021664879242E-15	2323.198561553316	-313.1985615533158	12422.823649712134	1000.0	1.4685268251816828	0.03694881671443853	9.439808271264042E-5	9.43980827126404E-5	-2.9976021664879242E-15	0.0	-969.1658537121134
850000	-968.1632213164505	-968.1632213164505	-6.661338147750946E-15	1114.137171781918	895.8628282180821	9076.325374884658	1000.0	1.5291323588016936	0.19039027731540883	1.3352951012431355E-4	1.335295101243135E-4	-6.661338147750946E-15	0.0	-959.2209451070458
875000	-966.8442774020448	-966.8442774020448	-4.329869796038114E-15	1224.508681437925	785.4913185620751	9408.626339451863	1000.0	1.0126561776836045	0.35767523856665095	1.87671563838348E-6	1.8767156383834806E-6	-4.329869796038114E-15	0.0	-961.1181421252422
900000	-985.0109382108814	-985.0109382108814	-5.329070518200756E-15	3817.6723733300705	-1807.6723733300705	17047.681683769817	1000.0	1.9003683098970086	0.13483140834041582	2.3076301530741216E-5	2.307630153074122E-5	-5.329070518200756E-15	0.0	-978.0388316153301
925000	-952.7240418002455	-952.7240418002455	-4.996003610813208E-15	1444.3926885942565	565.6073114057435	10214.106379386989	1000.0	7.573559578020394	0.9813390334599162	1.0018847555933587E-4	1.0018847555933587E-4	-4.996003610813208E-15	0.0	-940.7611429209528
950000	-960.4297726405368	-960.4297726405368	-4.329869796038114E-15	2353.095857996567	-343.0958579965668	12571.534367905246	1000.0	0.9901391634422315	0.2514224532988841	1.588008573763673E-5	1.588008573763673E-5	-4.329869796038114E-15	0.0	-953.8194103050361
975000	-972.2883473705803	-972.2883473705803	-5.329070518200756E-15	1484.5687616661662	525.4312383338338	11184.834490982115	1000.0	1.021337785508859	1.9234248942399623	9.249011944893901E-5	9.249011944893901E-5	-5.329070518200756E-15	0.0	-960.5483948557373
1000000	-964.7149603064652	-964.7149603064652	-4.329869796038114E-15	1620.7520652658022	389.24793473419777	11862.28734118307	1000.0	1.6477572711545938	0.07404869546149119	6.607357480224245E-5	6.607357480224247E-5	-4.329869796038114E-15	0.0	-956.8701733654079
1025000	-963.7806982050512	-963.7806982050512	-5.995204332975852E-15	2177.4374700203457	-167.4374700203457	12383.725768616245	1000.0	3.3285970736476505	0.3417740796115385	4.7551651411656115E-5	4.755165141165613E-5	-5.995204332975852E-15	0.0	-955.1452861536961
1050000	-971.0249597957493	-971.0249597957493	-4.329869796038114E-15	931.6975138220885	1078.3024861779115	9090.437070301532	1000.0	0.3851778551037698	0.40072073737697755	6.938054998378674E-6	6.938054998378671E-6	-4.329869796038114E-15	0.0	-964.5531383614968
1075000	-962.2294114614888	-962.2294114614888	-2.664535259100377E-15	1137.1911013100616	872.8088986899384	8791.51253151131	1000.0	9.851031549239849	0.02248641618465804	8.315018569558918E-5	8.315018569558929E-5	-2.664535259100377E-15	0.0	-952.0373018569016
