,SC_het,SC_iso,UCLD_het,UCLD_iso,BF_SC,BF_UCLD,,
heterochronous_bounds_1,-5106.808104,-5219.511186,-5110.261843,-5175.347308,112.703082,65.085465,,
heterochronous_bounds_2,-5113.739606,-5237.775848,-5116.46881,-5186.807256,124.036242,70.338446,,
heterochronous_bounds_3,-4601.052012,-4736.036849,-4604.076385,-4682.19306,134.984837,78.116675,,
heterochronous_bounds_4,-4301.667317,-4434.976437,-4304.955854,-4377.984688,133.30912,73.028834,,
heterochronous_bounds_5,-5337.598534,-5459.81921,-5341.157888,-5420.043755,122.220676,78.885867,,
heterochronous_bounds_6,-5879.100327,-6007.338514,-5882.934644,-5956.593139,128.238187,73.658495,,
heterochronous_bounds_7,-5949.364488,-6051.443589,-5953.396658,-6023.421507,102.079101,70.024849,,
heterochronous_bounds_8,-5292.293761,-5414.273531,-5295.3774,-5372.757722,121.97977,77.380322,,
heterochronous_bounds_9,-5438.190797,-5548.126093,-5441.198537,-5510.84107,109.935296,69.642533,het_bounds_SC,het_bounds_UCLD
heterochronous_bounds_10,-5875.351712,-5976.731893,-5878.698428,-5946.005726,101.380181,67.307298,10,10
heterochronous_unbound_1,-5105.178525,-5219.511186,-5108.114648,-5175.347308,114.332661,67.23266,,
heterochronous_unbound_2,-5112.312089,-5237.775848,-5114.693275,-5186.807256,125.463759,72.113981,,
heterochronous_unbound_3,-4598.946853,-4736.036849,-4602.307651,-4682.19306,137.089996,79.885409,,
heterochronous_unbound_4,-4300.136127,-4434.976437,-4303.528802,-4377.984688,134.84031,74.455886,,
heterochronous_unbound_5,-5335.745886,-5459.81921,-5338.91249,-5420.043755,124.073324,81.131265,,
heterochronous_unbound_6,-5877.654659,-6007.338514,-5881.25436,-5956.593139,129.683855,75.338779,,
heterochronous_unbound_7,-5948.137295,-6051.443589,-5952.356759,-6023.421507,103.306294,71.064748,,
heterochronous_unbound_8,-5290.617424,-5414.273531,-5294.184881,-5372.757722,123.656107,78.572841,,
heterochronous_unbound_9,-5436.042069,-5548.126093,-5440.18833,-5510.84107,112.084024,70.65274,het_unbound_SC,het_unbound_UCLD
heterochronous_unbound_10,-5874.060887,-5976.731893,-5876.857641,-5946.005726,102.671006,69.148085,10,10
ultrametric_bounds_1,-3776.696696,-3726.573431,-3764.399877,-3730.067491,-50.123265,-34.332386,,
ultrametric_bounds_2,-3953.578699,-3913.227606,-3947.38687,-3915.982365,-40.351093,-31.404505,,
ultrametric_bounds_3,-3883.736177,-3840.185369,-3882.489832,-3844.128435,-43.550808,-38.361397,,
ultrametric_bounds_4,-4327.889983,-4205.930408,-4259.283425,-4210.038311,-121.959575,-49.245114,,
ultrametric_bounds_5,-3764.897528,-3696.661893,-3730.946082,-3699.135515,-68.235635,-31.810567,,
ultrametric_bounds_6,-4138.334769,-4041.165838,-4082.241037,-4044.29772,-97.168931,-37.943317,,
ultrametric_bounds_7,-4457.398924,-4281.181275,-4324.106578,-4283.536608,-176.217649,-40.56997,,
ultrametric_bounds_8,-3788.723893,-3680.03688,-3714.017277,-3682.861885,-108.687013,-31.155392,,
ultrametric_bounds_9,-4890.960464,-4702.836086,-4747.658585,-4705.144734,-188.124378,-42.513851,iso_bounds_SC,iso_bounds_UCLD
ultrametric_bounds_10,-3370.204696,-3337.014135,-3373.337623,-3340.436027,-33.190561,-32.901596,0,0
ultrametric_unbound_1,-3743.299768,-3726.573431,-3750.012791,-3730.067491,-16.726337,-19.9453,,
ultrametric_unbound_2,-3931.309601,-3913.227606,-3936.444493,-3915.982365,-18.081995,-20.462128,,
ultrametric_unbound_3,-3869.762784,-3840.185369,-3876.263003,-3844.128435,-29.577415,-32.134568,,
ultrametric_unbound_4,-4234.610708,-4205.930408,-4240.465685,-4210.038311,-28.6803,-30.427374,,
ultrametric_unbound_5,-3715.468743,-3696.661893,-3720.434013,-3699.135515,-18.80685,-21.298498,,
ultrametric_unbound_6,-4061.74133,-4041.165838,-4067.837819,-4044.29772,-20.575492,-23.540099,,
ultrametric_unbound_7,-4306.937481,-4281.181275,-4311.061564,-4283.536608,-25.756206,-27.524956,,
ultrametric_unbound_8,-3692.820341,-3680.03688,-3698.639619,-3682.861885,-12.783461,-15.777734,,
ultrametric_unbound_9,-4726.416719,-4702.836086,-4732.79003,-4705.144734,-23.580633,-27.645296,iso_unbound_SC,iso_unbound_UCLD
ultrametric_unbound_10,-3357.317174,-3337.014135,-3363.813157,-3340.436027,-20.303039,-23.37713,0,0
