,SC_het,SC_iso,UCLD_het,UCLD_iso,BF_SC,BF_UCLD,,
heterochronous_bounds_1,-5108.440226,-5221.010594,-5111.20286,-5176.557704,112.570368,65.354844,,
heterochronous_bounds_2,-5114.989948,-5237.718613,-5117.601934,-5185.875844,122.728665,68.27391,,
heterochronous_bounds_3,-4602.193883,-4736.4474,-4604.81518,-4682.009185,134.253517,77.194005,,
heterochronous_bounds_4,-4303.014128,-4435.818706,-4306.28834,-4376.973688,132.804578,70.685348,,
heterochronous_bounds_5,-5339.44648,-5460.996028,-5342.001591,-5419.609262,121.549548,77.607671,,
heterochronous_bounds_6,-5881.017837,-6008.645734,-5884.633424,-5954.778859,127.627897,70.145435,,
heterochronous_bounds_7,-5950.981843,-6051.792117,-5955.04877,-6023.00795,100.810274,67.95918,,
heterochronous_bounds_8,-5293.451558,-5415.024025,-5296.854848,-5372.652141,121.572467,75.797293,,
heterochronous_bounds_9,-5439.376596,-5549.846004,-5442.656656,-5510.736816,110.469408,68.08016,het_bounds_SC,het_bounds_UCLD
heterochronous_bounds_10,-5877.369989,-5978.032318,-5880.26483,-5946.130094,100.662329,65.865264,10,10
heterochronous_unbound_1,-5106.805316,-5221.010594,-5109.969426,-5176.557704,114.205278,66.588278,,
heterochronous_unbound_2,-5113.880017,-5237.718613,-5116.198099,-5185.875844,123.838596,69.677745,,
heterochronous_unbound_3,-4600.710734,-4736.4474,-4603.755185,-4682.009185,135.736666,78.254,,
heterochronous_unbound_4,-4301.167971,-4435.818706,-4304.965156,-4376.973688,134.650735,72.008532,,
heterochronous_unbound_5,-5337.278394,-5460.996028,-5340.709617,-5419.609262,123.717634,78.899645,,
heterochronous_unbound_6,-5879.429231,-6008.645734,-5883.151017,-5954.778859,129.216503,71.627842,,
heterochronous_unbound_7,-5949.597516,-6051.792117,-5953.730302,-6023.00795,102.194601,69.277648,,
heterochronous_unbound_8,-5292.104703,-5415.024025,-5295.524952,-5372.652141,122.919322,77.127189,,
heterochronous_unbound_9,-5437.822159,-5549.846004,-5441.443614,-5510.736816,112.023845,69.293202,het_unbound_SC,het_unbound_UCLD
heterochronous_unbound_10,-5875.615106,-5978.032318,-5878.486138,-5946.130094,102.417212,67.643956,10,10
ultrametric_bounds_1,-3774.893499,-3727.036382,-3760.260543,-3731.522311,-47.857117,-28.738232,,
ultrametric_bounds_2,-3952.551828,-3914.058472,-3945.043759,-3917.870811,-38.493356,-27.172948,,
ultrametric_bounds_3,-3875.645194,-3841.634738,-3872.92763,-3845.214743,-34.010456,-27.712887,,
ultrametric_bounds_4,-4327.093559,-4208.406676,-4253.061887,-4211.286896,-118.686883,-41.774991,,
ultrametric_bounds_5,-3764.060638,-3697.796979,-3726.620713,-3700.273551,-66.263659,-26.347162,,
ultrametric_bounds_6,-4137.511637,-4042.415451,-4079.214265,-4045.66942,-95.096186,-33.544845,,
ultrametric_bounds_7,-4457.760325,-4282.430318,-4317.650953,-4285.502215,-175.330007,-32.148738,,
ultrametric_bounds_8,-3790.108283,-3681.201766,-3711.767106,-3684.410825,-108.906517,-27.356281,,
ultrametric_bounds_9,-4891.884159,-4703.581264,-4742.832993,-4707.927033,-188.302895,-34.90596,iso_bounds_SC,iso_bounds_UCLD
ultrametric_bounds_10,-3366.180069,-3338.368292,-3368.78189,-3342.333259,-27.811777,-26.448631,0,0
ultrametric_unbound_1,-3731.999748,-3727.036382,-3739.288817,-3731.522311,-4.963366,-7.766506,,
ultrametric_unbound_2,-3918.533444,-3914.058472,-3926.93773,-3917.870811,-4.474972,-9.066919,,
ultrametric_unbound_3,-3845.589622,-3841.634738,-3853.810733,-3845.214743,-3.954884,-8.59599,,
ultrametric_unbound_4,-4215.333282,-4208.406676,-4223.279882,-4211.286896,-6.926606,-11.992986,,
ultrametric_unbound_5,-3703.334232,-3697.796979,-3710.474241,-3700.273551,-5.537253,-10.20069,,
ultrametric_unbound_6,-4046.905888,-4042.415451,-4055.748285,-4045.66942,-4.490437,-10.078865,,
ultrametric_unbound_7,-4287.673012,-4282.430318,-4296.233476,-4285.502215,-5.242694,-10.731261,,
ultrametric_unbound_8,-3684.493663,-3681.201766,-3692.159792,-3684.410825,-3.291897,-7.748967,,
ultrametric_unbound_9,-4708.979152,-4703.581264,-4716.657821,-4707.927033,-5.397888,-8.730788,iso_unbound_SC,iso_unbound_UCLD
ultrametric_unbound_10,-3342.720387,-3338.368292,-3350.551669,-3342.333259,-4.352095,-8.21841,0,0
